round_id,episode_id,episode_number,title,published_at,public_figure,participants,winners,is_tie,playable,confidence,spotify_url,audio_url
ko-181,181,242,"#242: Lula, generais e as preposições",2023-03-03T10:50:00-03:00,Carla Zambelli,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.99,https://open.spotify.com/episode/1y2i6cpExzY1hceoYltwSL,https://traffic.megaphone.fm/NPP1918748057.mp3?updated=1712259881
ko-180,180,243,#243: Os diamantes de Bolsonaro,2023-03-10T10:43:38-03:00,Sérgio Cabral,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Fernando de Barros e Silva,false,true,0.99,https://open.spotify.com/episode/4HGkbN5QaB1fjrh7RNucSi,https://traffic.megaphone.fm/NPP4616066136.mp3?updated=1698090487
ko-179,179,244,"#244: Direita, (de)volver!",2023-03-17T10:45:00-03:00,Alberto Fraga,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/01RpLg02LOY463BueMeWCJ,https://traffic.megaphone.fm/NPP6951434178.mp3?updated=1712257786
ko-178,178,245,#245: Humanidade é o novo asteroide?,2023-03-24T10:45:01-03:00,Tarcísio de Freitas,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Fernando de Barros e Silva,false,true,0.98,https://open.spotify.com/episode/077JbCKuqBofwf3cYhlrw3,https://traffic.megaphone.fm/NPP6817689120.mp3?updated=1698090486
ko-177,177,246,"#246: Partidas, chegadas e tragédias",2023-03-31T10:45:00-03:00,,Fernando de Barros e Silva; José Roberto de Toledo; Thaís Oyama,José Roberto de Toledo,false,false,0.88,https://open.spotify.com/episode/0oCIB2zhvCQdwtYAaxymbh,https://traffic.megaphone.fm/NPP2815852620.mp3?updated=1712257722
ko-176,176,247,#247: As dores de cabeça de Lula,2023-04-07T10:45:01-03:00,Ciro Nogueira,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.99,,https://traffic.megaphone.fm/NPP1935814223.mp3?updated=1698090484
ko-175,175,248,#248: Negócios da China,2023-04-14T10:45:01-03:00,José Dirceu,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.97,https://open.spotify.com/episode/7GdGKwempVmR0fE2k3xpJA,https://traffic.megaphone.fm/NPP7258910391.mp3?updated=1698090483
ko-174,174,248,#249: Enodado pela boca,2023-04-21T10:45:01-03:00,Guilherme Boulos,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/7GdGKwempVmR0fE2k3xpJA,https://traffic.megaphone.fm/NPP6138518104.mp3?updated=1698090482
ko-173,173,248,#250: Caçarola da CPI vai ao fogo,2023-04-28T10:45:01-03:00,João Dória,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.99,https://open.spotify.com/episode/7GdGKwempVmR0fE2k3xpJA,https://traffic.megaphone.fm/NPP8823075448.mp3?updated=1698090481
ko-172,172,251,#251: O falso messias,2023-05-05T10:07:25-03:00,Valdemar Costa Neto,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.98,,https://traffic.megaphone.fm/NPP9616573082.mp3?updated=1698090480
ko-171,171,252,#252: Morreu e foi para a cadeia,2023-05-12T10:45:01-03:00,Tom Zé,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,José Roberto de Toledo,false,true,0.99,https://open.spotify.com/episode/4gbGPjMMRh0rWGaPQ7D17P,https://traffic.megaphone.fm/NPP4178941082.mp3?updated=1698090479
ko-169,169,254,#254: Um chute no preconceito,2023-05-26T10:45:02-03:00,Hamilton Mourão,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.99,https://open.spotify.com/episode/3hW3jmOfi0GQ6T3j92P9jd,https://traffic.megaphone.fm/NPP8918204126.mp3?updated=1698090477
ko-168,168,255,#255: Ordenhando a boiada,2023-06-02T10:45:01-03:00,Damares Alves,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.98,,https://traffic.megaphone.fm/NPP8020579195.mp3?updated=1698090476
ko-167,167,256,"#256: Vai que é tua, Lira!",2023-06-09T10:45:01-03:00,,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,false,0.79,https://open.spotify.com/episode/57kx1eFzxtKa88ztO650OB,https://traffic.megaphone.fm/NPP7284150687.mp3?updated=1698090475
ko-166,166,257,#257: O ministro que escapou do tiroteio,2023-06-16T10:45:00-03:00,Marcelo Queiroga,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.59,https://open.spotify.com/episode/7ag8j0P2FtNi1QOzQXaXq3,https://traffic.megaphone.fm/NPP5198767809.mp3?updated=1712255528
ko-165,165,258,"#258: Balão vai, balão cai",2023-06-23T10:55:01-03:00,Erika Hilton,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Fernando de Barros e Silva,false,true,0.98,https://open.spotify.com/episode/68cILqUxaMQLPPloiZIirO,https://traffic.megaphone.fm/NPP3849471384.mp3?updated=1698090473
ko-164,164,259,#259: O espocar dos votos no TSE,2023-06-30T11:00:02-03:00,Luana Piovani,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/0Z35jKk7tqeWYxCsogB9AY,https://traffic.megaphone.fm/NPP7833455877.mp3?updated=1698090472
ko-163,163,260,#260: No barco com Safadão,2023-07-07T10:45:02-03:00,Janja,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.95,https://open.spotify.com/episode/1IxgPaD3w60WVbxR1vh62S,https://traffic.megaphone.fm/NPP6346871642.mp3?updated=1698090471
ko-162,162,261,"#261: Um banquinho, um violão",2023-07-14T10:45:02-03:00,Beto Richa,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/3Y8tkOEWqgc9hx8CuJ0JPJ,https://traffic.megaphone.fm/NPP6966370281.mp3?updated=1698090470
ko-161,161,262,#262: O equilibrismo de Xandão,2023-07-21T10:45:01-03:00,Rogério Marinho,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,José Roberto de Toledo,false,true,0.99,https://open.spotify.com/episode/3JwM3kHVKlVvF4XLIRPvmf,https://traffic.megaphone.fm/NPP2568629915.mp3?updated=1698090469
ko-159,159,263,"#263: Marielle, as armas e a armação",2023-07-28T10:45:02-03:00,Hamilton Mourão,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/7kFuuV8asTwQCNdtpVkPp3,https://traffic.megaphone.fm/NPP9905728896.mp3?updated=1698090467
ko-157,157,264,#264: A dependência de Tarcísio,2023-08-04T10:45:00-03:00,Baleia Rossi,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/4tyfwbnF6Q4GhotyoKazae,https://traffic.megaphone.fm/NPP6643226772.mp3?updated=1712255042
ko-155,155,265,#265: Polícia contra polícia,2023-08-11T10:45:01-03:00,Sâmia Bonfim,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Fernando de Barros e Silva,false,true,0.97,https://open.spotify.com/episode/1Fnz2Hz9aLmEn95HZy2q4L,https://traffic.megaphone.fm/NPP2833553071.mp3?updated=1698090463
ko-153,153,266,#266: Militares em crise,2023-08-18T10:45:02-03:00,Ronaldo Caiado,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,José Roberto de Toledo,false,true,0.99,https://open.spotify.com/episode/7gJRub0lkBDG6ohUicoTs8,https://traffic.megaphone.fm/NPP2168746168.mp3?updated=1698090461
ko-151,151,267,#267: Harmonização criminal de Bolsonaro,2023-08-25T10:45:02-03:00,Paulo Guedes,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,José Roberto de Toledo,false,true,0.98,https://open.spotify.com/episode/2QuweOl83oHqHcCYFvlAbW,https://traffic.megaphone.fm/NPP9527106466.mp3?updated=1698090459
ko-149,149,268,#268: Os votos de Zanin e os donos do Brasil,2023-09-01T10:45:02-03:00,Juliette,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,José Roberto de Toledo,false,true,0.98,https://open.spotify.com/episode/0OZIRjmkqnqTR1OqeVbsuA,https://traffic.megaphone.fm/NPP2089658346.mp3?updated=1698090458
ko-147,147,269,"#269: Bolas, boladas e Fufucas",2023-09-08T10:40:01-03:00,Aécio Neves,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,,false,false,0.98,https://open.spotify.com/episode/2TnMzYfUTRziYShj8OrX9T,https://traffic.megaphone.fm/NPP2422932193.mp3?updated=1698090456
ko-146,146,270,#270: Crimes & castigos & outros delitos,2023-09-15T10:40:02-03:00,Paulo Pimenta,Fernando de Barros e Silva; Thais Bilenky; Luigi Maza,Luigi Maza,false,true,0.98,https://open.spotify.com/episode/1WcFYkizzLuO7vobZh0kaP,https://traffic.megaphone.fm/NPP8239090242.mp3?updated=1698090455
ko-145,145,271,"#271: O golpe, o STF e os dois centrões",2023-09-22T10:40:01-03:00,Paulo Guedes,Fernando de Barros e Silva; Thais Bilenky; Ana Clara Costa; Marcos Nobre,Thais Bilenky,false,true,0.98,https://open.spotify.com/episode/2LF34AHAM0MOlvN19zxQct,https://traffic.megaphone.fm/NPP8773208669.mp3?updated=1698090454
ko-144,144,272,"#272: Golpes, marcos e próteses",2023-09-29T10:40:02-03:00,João Dória,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.99,https://open.spotify.com/episode/4kanvlRJSQuswM1rdxBDq3,https://traffic.megaphone.fm/NPP7298842352.mp3?updated=1698090453
ko-143,143,273,#273: Chacinas em série,2023-10-06T10:40:02-03:00,Roberto Campos Neto,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Thais Bilenky,false,true,0.98,https://open.spotify.com/episode/2OXRHDZ5qCbL1pGiuy2rFu,https://traffic.megaphone.fm/NPP9255036495.mp3?updated=1698090452
ko-142,142,274,#274: A guerra,2023-10-13T10:40:02-03:00,Alexandre de Moraes,Fernando de Barros e Silva; José Roberto de Toledo; Ana Clara Costa,Ana Clara Costa; José Roberto de Toledo,true,true,0.91,https://open.spotify.com/episode/7fz7kZuzOrKsNUtJl0rdUs,https://traffic.megaphone.fm/NPP7718500621.mp3?updated=1698090452
ko-141,141,275,#275: Lula e os donos da bola,2023-10-20T10:45:00-03:00,Felipe Neto,Fernando de Barros e Silva; José Roberto de Toledo; Thais Bilenky,Fernando de Barros e Silva,false,true,0.78,https://open.spotify.com/episode/1HTbSvyHoi0xJCfRNJFXl5,https://traffic.megaphone.fm/NPP8781277899.mp3?updated=1712254174
ko-140,140,276,"#276: Milicianos, arapongas e vice-versa",2023-10-27T09:43:15-03:00,Beth Mendes,Fernando de Barros e Silva; José Roberto de Toledo; Ana Clara Costa; Thais Bilenky,,false,false,0.96,https://open.spotify.com/episode/0Q9pYc0zNvqGRCuuHEGcXg,https://traffic.megaphone.fm/NPP2996203424.mp3?updated=1698410911
ko-138,138,,O presente de Lula e o futuro de Bolsonaro,2024-03-15T10:45:00-03:00,Ronaldo Caiado,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Ana Clara Costa,false,true,0.99,,https://traffic.megaphone.fm/NPP4171073727.mp3?updated=1710505886
ko-137,137,,Lula entre os evangélicos e dois golpes,2024-03-22T10:45:00-03:00,Luciano Bivar,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/NPP8925944299.mp3?updated=1712949150
ko-135,135,,"O caso Marielle, o caso Maduro e o caso do pijama",2024-03-29T10:45:00-03:00,Kim Kataguiri,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU3668923014.mp3?updated=1712949134
ko-134,134,,"O juiz, os jogadores e as regras do jogo",2024-04-05T10:40:00-03:00,Ciro Nogueira,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Ana Clara Costa,true,true,0.96,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU5913667266.mp3?updated=1712949117
ko-133,133,,A direita estúpida e a economia,2024-04-12T10:40:00-03:00,Jorge Kajuru,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Fernando de Barros e Silva,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU2535805869.mp3?updated=1712949098
ko-132,132,,"Drogas ilegais, drogas legais e juízes sem juízo",2024-04-19T10:40:00-03:00,Jorge Kajuru,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.95,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU6014245095.mp3?updated=1713533167
ko-131,131,,"A reação de Lula, a ofensiva de Tarcísio e o retrocesso ambiental",2024-04-26T10:40:00-03:00,Armínio Fraga,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros; Bernardo Esteves,Celso Rocha de Barros,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU2996374700.mp3?updated=1714136300
ko-130,130,,"Moderados, desonerados e desaparecidos",2024-05-03T10:40:00-03:00,Edson Lobão,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU4985488982.mp3?updated=1714741779
ko-129,129,,Dentro da tempestade: as chuvas e a política na tragédia do Rio Grande do Sul,2024-05-10T10:40:00-03:00,Antônio Garotinho,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros; Bernardo Esteves,,false,false,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU5169882527.mp3?updated=1715345976
ko-127,127,,"A reconstrução do Sul, o recuo de Moraes e a mudança na Petrobras",2024-05-17T10:40:00-03:00,José Múcio,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Ana Clara Costa,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU1258349699.mp3?updated=1715950192
ko-125,125,,"Os limites do governador, do ex-juiz e das big techs",2024-05-24T10:40:00-03:00,Joyce Hasselmann,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,,false,false,0.69,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU8829117921.mp3?updated=1716556466
ko-123,123,,"Sem saidinha, sem câmeras e sem saúde",2024-05-31T10:46:00-03:00,Aldo Rebelo,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU2259651903.mp3?updated=1717160409
ko-121,121,,"Praias, escolas e outros negócios do centrão",2024-06-07T10:45:00-03:00,Geraldo Alckmin,Fernando de Barros e Silva; Celso Rocha de Barros; Ana Clara Costa,,false,false,0.95,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU1787259511.mp3?updated=1717765314
ko-119,119,,"Aborto, Trump e a cilada brasileira",2024-06-14T10:45:00-03:00,Roberto Justus,Fernando de Barros e Silva; Celso Rocha de Barros; Marina Dias; Marcos Nobre,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU7932069421.mp3?updated=1718370231
ko-117,117,,"A economia, as eleições e a estupidez",2024-06-21T11:00:00-03:00,Onyx Lorenzoni,Fernando de Barros e Silva; Celso Rocha de Barros; Ana Clara Costa,,false,false,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU2157475599.mp3?updated=1718975713
ko-116,116,,"As drogas, as fortunas e as queimadas",2024-06-28T10:45:00-03:00,Damares Alves,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros; Bernardo Esteves,Ana Clara Costa,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU3048280342.mp3?updated=1719579199
ko-115,115,,"Dólar no Brasil, eleições na Europa e viagens internacionais no STF",2024-07-05T10:40:00-03:00,Omar Aziz,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU6779724971.mp3?updated=1720185170
ko-114,114,,"Joias, pérolas e eleições",2024-07-12T10:00:00-03:00,Ratinho Júnior,Fernando de Barros e Silva; Celso Rocha de Barros; Ana Clara Costa,,false,false,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU4919205158.mp3?updated=1721394372
ko-113,113,,Violência americana e violências brasileiras,2024-07-19T09:42:00-03:00,Ciro Nogueira,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU2508244573.mp3?updated=1721394565
ko-112,112,,"Kamala, Maduro e os desafios da democracia na América",2024-07-26T10:14:00-03:00,Eike Batista,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,,false,false,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU3343313395.mp3?updated=1722001110
ko-111,111,,"Votos, atas e eleições",2024-08-02T09:34:00-03:00,Frederico Assef,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU5867916781.mp3?updated=1722604206
ko-110,110,,"A fúria dos mercados, a fraude das emendas e a farsa de Maduro",2024-08-09T10:30:00-03:00,Rogério Marinho,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Fernando de Barros e Silva,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU8900742232.mp3?updated=1723208729
ko-109,109,,"Kamala, Xandão e Delfim Netto",2024-08-16T10:19:58-03:00,Nelson Jobim,Fernando de Barros e Silva; Celso Rocha de Barros; Marina Dias,,false,false,0.9,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU6406931359.mp3?updated=1723814706
ko-108,108,,"A manobra em Brasília, o embuste em São Paulo e o déspota em Caracas",2024-08-23T09:14:00-03:00,Marcel Van Hatten,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros; Breno Pires,Celso Rocha de Barros,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU5762743606.mp3?updated=1724417289
ko-107,107,,"Eleições, queimadas e desigualdade: um país em chamas",2024-08-30T09:55:00-03:00,Rodrigo Maia,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros; Bernardo Esteves,Celso Rocha de Barros,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU3068176602.mp3?updated=1725027175
ko-106,106,,"Musk, Marçal e centrão: o xis das questões",2024-09-06T09:34:34-03:00,Luciano Huck,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Ana Clara Costa,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU7572790409.mp3?updated=1725628295
ko-105,105,,"No país da seca, do assédio e do golpismo",2024-09-13T09:24:34-03:00,Eduardo Cunha,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros; Bernardo Esteves,Celso Rocha de Barros,false,true,0.99,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU3343431016.mp3?updated=1726232398
ko-104,104,,"Terra sem lei: incêndios, jogatina e cadeiradas",2024-09-20T09:34:00-03:00,Jorginho Mello,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Ana Clara Costa,false,true,0.97,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU4904604796.mp3?updated=1726838628
ko-103,103,,"O Brasil na ONU, na urna e no TJ",2024-09-27T09:47:00-03:00,Caio Coppola,Fernando de Barros e Silva; Celso Rocha de Barros; Ana Clara Costa,Celso Rocha de Barros,false,true,0.98,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU6306736032.mp3?updated=1727444103
ko-102,102,,As eleições e a guerra,2024-10-04T09:36:00-03:00,Laerte,Fernando de Barros e Silva; Ana Clara Costa; Celso Rocha de Barros,Fernando de Barros e Silva,false,true,0.85,,https://traffic.megaphone.fm/EDITORAALVINEGRALTDAREVISTAPIAU9042337967.mp3?updated=1728046763
